HEADER,LINK,KEYWORDS
"Канцелярский, ксерокс",https://goo.gl/maps/YAVekgiUsGXPRRGNA,"Канцелярский, ксерокс, канцтовары, копия, канцелярия, канц товары, канцелярские, точка, магазин"
Полицейсккий участок,https://goo.gl/maps/DteDy2Tdu5Z54r478,"Полицейсккий участок, полиция, милиция, копы, точка, полиции, в полицию, точка"
Joe's Cafe Muine,https://maps.app.goo.gl/mN54cbugtfjjwqN88,"Joe's, Cafe, joys cafe, jois cafe, джойс, Джо, джо кафэ, джойз кафе, джойс, ресторан, живая, музыка, живую музыку, точка"
Электронная виза в Камбоджу,https://www.evisa.gov.kh,"Электронная виза в Камбоджу, камбоджа, мокбай, е-виза, электронная виза, визу, на сайте, камбоджу, камбоджийская, камбоджийский, камбоджийскую, визовый, штамп"
Чат Тусовки,https://t.me/muine_tusa,"Чат Тусовки, туса, вечеринка, party, клуб, музыка, настолки, игры, волейбол, футбол, знакомства, у костра, барабаны, ром"
Нормальный Нячанг,https://t.me/nhatrang_locals,"Нормальный Нячанг, чат, нячанг"
Уханьский вирус 2019-nCoV,https://ru.wikipedia.org/wiki/2019-nCoV,"вирус, коронавирус, китай, кроновирус, пневмония"
Рампа,https://goo.gl/maps/JdETKaUn4p2LL49V8,"рампа, скейт"
Мойка в Фантике,https://maps.app.goo.gl/kZEfjHAXAaJSLThA8,"мойка, автомойка, точка"
Rhum Chauvet (Ром Шавье),https://t.me/muine_faq/240,"Rhum, Chauvet, Ром, Шавье, алкоголь, ром, шавет"
Торты и десерты на заказ,https://t.me/muine_faq/242,"торт, кондитер, сладости, пироженное,пироженое, пирожное, десерт, на заказ, еда, чизкейк, день рождения, праздник, подарок"
Western Union,https://t.me/muine_faq/245,"Western Union, western, вестерн, юнион, вестерн юнион, денежный перевод, банк, деньги,"
Mimiso,https://maps.app.goo.gl/cNC1Bdf1Li3Xyumr7,"mimiso, miniso, мимисо, министр, корейский, корейская"
Medicare,https://maps.app.goo.gl/NvxwyhRKLDmNSeEA8,medicare
Mimiso в Фантьете,https://maps.app.goo.gl/Cxpmzg7QBfwXE24z8,"мимисо, mimiso, miniso, Фантьет, точка"
Спортивный магазин в Фантьете,https://goo.gl/maps/Cg3xJ5R8SYAAo8Nu5,"спорт, магазин, спортивная обувь, теннисные, теннис, кросовки, спортивный, ракетка, бадминтон, мяч"
Спортивный магазин в Фантьете 2,https://goo.gl/maps/xg1exAFLa9wkcNEp7,"спорт, магазин, спортивная обувь, теннисные, теннис, кросовки, спортивный, ракетка, бадминтон, мяч"
Спортивный магазин в Фантьете 3,https://goo.gl/maps/34VUKjXPZnzbV1Du5,"спорт, магазин, спортивная обувь, теннисные, теннис, кросовки, спортивный, ракетка, бадминтон, мяч"
Магазин тренажеров в Фантьете,https://goo.gl/maps/eDbqkM2B1QHYgLBp6,"спорт, магазин, спортивная обувь, теннисные, теннис, кросовки, спортивный, тренажоры, тренажер, беговая дорожка"
Магазин электробайков,https://goo.gl/maps/buGowKFxJXTXqRYd8,"Магазин электробайков, электро, велосипед, электробайк, электровелосипед, точка"
Прокат хороших велосипедов в Муйне,https://goo.gl/maps/wP8J6HczmuP1d1T6A,"Прокат, велосипед, велик, магазин, точка, велопрокат"
Веломагазин в Фантьете,https://goo.gl/maps/7TzNQ8baesqS3Hpr7,"Веломагазин, велосипед, велик, магазин, точка, купить, где"
Клиника Китайской медицины ,https://goo.gl/maps/LzyKYYuCZM7hHboN6,"Клиника, Китайской, медицины, массаж, иглоукалывание, иглотерапия, мануальный, китайцы, доктор"
О ремонте кайтов спрашивай тут,https://t.me/muine_kite,"ремонт кайтов, ремонт кайта, ремонт доски, кайт"
Медтехника,https://t.me/muine_faq/253,"Медтехника, костыль, костыли, мед техника, капельница, кресло-каталка"
Кофейня MuiNe Specialty Coffee,https://t.me/muine_faq/255,"кофе, чай, кофе с яйцом, пуэр, кофейня"
*100#,,баланс
Чат  для девушек,https://t.me/joinchat/JGVIZ08vMXuMxjGJYB-N2w,"чат, женский, для девушек, маникюр, педикюр, эпиляция"
Кальянная от RAU bakery,https://t.me/muine_faq/257,"Кальянная, кальян, кальяны, шиша, покурить, табак, кальянчик, кальянный, дым, RAU bakery"
репеленты от комаров,https://t.me/muine_faq/264,"репелент, комар, комары, комаров, от комаров, комар, репилент"
расписание фильмов в Лоттемарт,http://www.lottecinemavn.com/LCHS/Contents/Cinema/Cinema-Detail.aspx?divisionCode=1&detailDivisionCode=6&cinemaID=8011,"кинотеатр, лоттемарт, фильм, фильмы, Лотте, кино, кинозал"
Рыбалка,https://goo.gl/maps/KdwN3Sk5v92vEyn89,"Рыбалка, рыба, леска, удочка. грузило, сеть, невод, спининг, пруд, озеро, точка"
Рыбалка в сторону маяка,https://goo.gl/maps/t76iFS6WPr4NAzLZ6,"Рыбалка, рыба, леска, удочка. грузило, сеть, невод, спининг, пруд, озеро, точка"
"Сода так и называется - SODA и продается почти везде, на рынке, в продуктовых магазинах",,"Сода, соду, соды, сода"
Как выглядит сода?,https://t.me/muine_faq/273,"Сода, соду, соды, сода"
Как выглядят дрожжи?,https://t.me/muine_faq/266,дрожжи
Fisherman show,https://goo.gl/maps/mZ9vKaBX78ECWhuf8,"Fisherman show, шоу, концерт, точка"
"Крокодиловая ферма и горячие источники 
Binh Chau",https://goo.gl/maps/yuxuzGMVjinkjGZLA,"крокодиловая ферма, крокодил, Binh Chau, БиньЧау, источники, грязи, лечебные, точка, ферма, точка"
тарифы 4g viettel,https://t.me/muine_faq/275,"3g, 4g, интернет, связь, тариф, виеттель, витель, viettel"
Расписание автобусов Хань Кафе в Хошимин,https://t.me/muine_faq/278,"Расписание, автобус, Хань Кафе, в Хошимин, в Сайгон, слипер, слипербас, график"
Автобусы #1 и #9 по Муйне и Фантьету,https://t.me/muine_faq/356,"автобус, автобус в Муйне, автобус в Фантьет, городской автобус, маршрут"
Как добраться в/из аэропорта в центр Хошимина?,https://t.me/muine_faq/283,"аэропорт, автобус, хошимин, сайгон, 109, 152, такси, grab"
"*набрать USSD команду*:
Vinaphone: *110#
Vettel: *101# или *098#
Mobifone: *0#
Vietnamobile: *123#",,"Как узнать, свой номер, телефона, номер"
Кальянная в INDO-CHINESE CLUB,https://t.me/muine_faq/282,"кальян, шиша, покурить, курнуть, потабачить, табак, никотин, кальянные, альфакер, дарксайд, уголь"
лучший крем после загара это алоэ,,"крем, загар, алоэ, после загара, обгорел, ожог, солнечный"
Марьяна - профессиональный фотограф в Муйне,https://t.me/muine_faq/299,"фотограф, фото, фотосессия, Марьяна, свадебная, фотография, love story"
Фотограф - Dmitriy Styiler Moiseenko,https://t.me/muine_faq/305,"фотограф, фото, фотосессия, свадебная, фотография, love story"
Kostya Lelyak - фотограф Playboy,https://t.me/muine_faq/310,"фотограф, фото, фотосессия, фотография, модель, playboy"
Катя Vologda  -  фото и видео съёмка,https://t.me/muine_faq/319,"фотограф, фото, фотосессия, фотография, видеосъемка, видеооператор, видео"
Наталья Самойлова - профессиональный фотограф ,https://t.me/muine_faq/365,"фотограф, фото, фотосессия, свадебная, фотография, love story"
Профессиональные фотосессии от @mia_ou,https://t.me/muine_faq/377,"фотограф, фото, фотосессия, свадебная, фотография, love story"
Доброе утро,,"Доброе, утро"
аптека в Фантьете,https://goo.gl/maps/Lgo21ymryzkiiGmD6,"аптека, Фантьет, точка"
Как выглядит хлоргексидин?,https://t.me/muine_faq/284,"Хлоргексидин, медорал, medoral, Chlorhexidine"
Первая медицинская помощь при ранении на байке,https://t.me/muine_faq/336,"медицинская, помощь, при ранении, на байке, аптека, лекарства, асфальтовая, болезнь, перекись, йод, аналоги, лекомеколь"
гос.госпиталь,https://goo.gl/maps/YdomCWUoNPB2,"госпиталь, больница, точка, государственный"
распечатать фото на границе Мокбай,https://goo.gl/maps/nZkwTmcoMKv3FsQR7,"мокбай, визаран, точка, фото, распечатать, на документы, анкета"
upd про Фукуй,https://telegra.ph/Fukuj-02-19,"фукуй, остров"
Горячие источники и крокодиловая ферма ,https://telegra.ph/Binchau-hot-springs-11-15,"биньчау, горячий, источник, геотермальный, санаторий, грязи, крокодиловая, ферма"
Love Sushi ,https://goo.gl/maps/hC15PvbRmQrC8LsEA,"Love Sushi Lounge Cafe, суши, роллы, сашими, японская, ролы, еда, точка"
MOJO Cafe,https://goo.gl/maps/5LymVUoPQMP4U5rv9,"MOJO Cafe, суши, пицца, роллы, точка"
Крабница,https://goo.gl/maps/vKzBTXuERBGaH3n56,"Крабница, еда, морепродукты, краб, клешни, точка"
Боке (набережня с ресторанами) в Фантьете,https://goo.gl/maps/hMBy84TgYbEhnxpj9,"Боке в Фантьете, боке, морепродукты, креветки"
Боке (набережня с ресторанами),https://g.page/bokehungphat?share,"Боке в Муйне, боке, морепродукты"
Столовка на первом повороте,https://goo.gl/maps/anQr9M91rt9w4rcf6,"Столовка, хайвей, столовка, столовая, первый, точка"
"EL Latino
",https://goo.gl/maps/a8pbF5qSGFe23nKd6,"пицца, мексиканская, EL Latino
"
"Joe's Cafe Muine",https://goo.gl/maps/rh9fzkvWPyyb2Bvt9,"Joe's Cafe Muine, живая музыка
"
пополнить баланс с карты через lazada,https://www.lazada.vn/mobilerecharge.html,"пополнить, баланс, телефон, лазада, "
проверить остаток интернета на vinaphone отправьте: data на номер 888,,"винафон, vinaphone, интернет, баланс, остаток"
Доброе утро,,Доброе утро
Добрый вечер,,Добрый вечер
ремонт обуви и одежды,https://t.me/muine_faq/82,"ремонт обуви, ремонт, одежда, швея, обувь"
страница русскоязычной школы вк,https://vk.com/club172577179,"школа, детский, сад, школьные"
Icos в Фантьете,https://goo.gl/maps/j4vpedguZsYMRtgv8,"стики, айкос, icos, точка, Фантьет, heets"
Оформление паспорта в Хошимине,https://t.me/muine_faq/381,"Оформление, паспорт, загран, загранпаспорт, посольство, консул, в Хошимине"
Экскурсия в Далат 28$,https://teletype.in/@muineinfo/FuTkRIFM,"Экскурсия, Далат, достопримечательность, слон, водопад, чай, кофе, парк, шелк, будда"
"Экскурсия на 2 дня 110$! из Муйне в Сайгон, дельту реки Меконг и тоннели Кучи",https://teletype.in/@muineinfo/WCJlCRmL,"Экскурсия, Муйне, Сайгон, дельта, реки, Меконг, тоннели, Кучи, Хошимин, тур, мавзолей, дворец, партизаны, шопинг"
"тандыр, лепешки",https://maps.app.goo.gl/qmaVVN7foQS8HRCK6,"тандыр, пирожки, лепешки"
"компьютерный магазин, ноуты, принтера",https://maps.app.goo.gl/A1JexmpiwVM51cEA9,"компьютерный, магазин, ноут, принтер, точка, компьютер, ноут, принтер"
Как добраться до Муйне???,https://telegra.ph/Kak-dobratsya-do-Mujne-03-03,"Как добраться до Муйне, из аэропорта, в аэропорт, транспорт, автобус, аэропорт, трансфер, слиппер"
"минитипография, оперативная полиграфия",https://goo.gl/maps/7RZAeTadY2N2,"типография, полиграфия, печать, распечатать, буклет, флаер, наклейки"
"Грузоперевозки по Муйне
Перевезти вещи можно на трицикле с кузовом или на небольшом грузовике. 
📞 0918317714  [Грузоперевозки по Муйне] (https://t.me/muine_faq/401) Английский у водителя достаточный для того чтобы договориться о времени, месте и цене. Цены зависят от выбранного транспорта, сезона, дальности расстояния, количества рейсов. Вероятно вы сможете получить лучшую цену, если попросите позвонить кого-либо из ваших вьетнамских знакомых.",,Грузоперевозки
Канал с информацией о Муйне,https://t.me/muine,"Информация, муйне, канал, инфо"
купить лёд. много льда,https://maps.app.goo.gl/LaxxUGvkQ3nnyGZF8,"лёд, лед, купить лёд"
ФЛУД-КОРТ,t.me/muine_tusa,"флуд, флудить"
"Копчености, колбаски, бекон. Доставка",https://t.me/muine_faq/430,"Копчености, колбаски, бекон, Доставка, еда, поесть, копчения, рыба, Говядина, карбонад"
обувной секонд хэнд,https://goo.gl/maps/2ihQ5F9zL9pFKbgw7,"секонд хэнд, секонд, сэконд, обувь"
секонд хэнд ,https://goo.gl/maps/GFC7QT56bojFUPBV9,"секонд хэнд, секонд, сэконд, одежда"
Товары для шитья и вязания,https://t.me/muine_faq/68,"Товары для шитья и вязания, швейный, ткань, нитки, пряжа, крючки, вязать, спицы, шитье"
чат доставок еды,https://t.me/muine_delivery,доставка еды
иммиграционный офис в Хошимине,https://g.page/Cqlxnttphcm?share,"иммиграционный офис в Хошимине, иммиграционный, миграионный, виза, продление, офис, эмиграционный, миграшка"
"Лечение животных, зоомагазины, ветеринар",https://t.me/muine_faq/454,"Лечение животных, зоомагазины, ветеринар, зоомагазин, магазин, зоо, корм, корма, кошки, собаки, кот, животное, зоотовары"
"Здесь разнообразие тканей для мебели, постельного белья и штор. Там же и шьют",https://goo.gl/maps/gTEbXpFC1CLLcksT7,"ткани, тканей, портной, шить, ткань"
индекс 801090,,индекс
автобусы в Вунгтау 4 раза в день,https://goo.gl/maps/Sz6da1Lx2fGZ8WgY7,"автобус, вунгтау, вунгтао, слипер, Vungtau"
прокат авто,https://goo.gl/maps/yUvzW85Jj9BRH6qf9,"прокат авто, прокат машин, автомобиль, на прокат"
ПЦР тест в Фантьете,https://maps.app.goo.gl/s5ZXE59z7s7Rayyy9,"ПЦР, тест"
"экспресс тест в Фантьете,  7-10 минут, 160kvnd
пн-суб: 7:00 - 23:30, воскр. с 7:00 до 11:30",https://maps.app.goo.gl/gkvX8xschFEyXi2E6,"экспресс, тест, пцр"
автопродление визы Ноябрь 2021,https://xuatnhapcanh.gov.vn/vi/tin-tuc/t%E1%BB%B1-%C4%91%E1%BB%99ng-gia-h%E1%BA%A1n-t%E1%BA%A1m-tr%C3%BA-cho-ng%C6%B0%E1%BB%9Di-n%C6%B0%E1%BB%9Bc-ngo%C3%A0i-b%E1%BB%8B-%E1%BA%A3nh-h%C6%B0%E1%BB%9Fng-b%E1%BB%9Fi-d%E1%BB%8Bch-covid-19-7,"автопродления, продление визы, виза, продления виз"
"Консульский отдел Посольства России в г.Ханое
Сайт: http://www.vietnam.mid.ru
Эл.почта: kons_hanoi@inbox.ru
Круглосуточный телефон экстренной помощи Консотдела в Ханое:📞 +84 91 323 7330",,"Консульский отдел, консул, посол, посольство, консульство, консульство в Ханое"
